# final_event	native_event	custom_property_keys	native_owner
wcpay_checkout_page_view	checkout_page_view	theme_type,woopay_enabled	plugins/woocommerce/src/Internal/Payments/Providers/WooPayments/WooPaymentsCheckoutBridge.php
wcpay_checkout_order_placed	checkout_order_placed	payment_title	plugins/woocommerce/src/Internal/Payments/Providers/WooPayments/WooPaymentsCheckoutBridge.php
wcpay_order_success_page_view	order_success_page_view	-	plugins/woocommerce/src/Internal/Payments/Providers/WooPayments/WooPaymentsOrderSuccessPage.php
wcpay_apple_pay_domain_registration_success	apple_pay_domain_registration_success	domain,mode	plugins/woocommerce/src/Internal/Payments/Providers/WooPayments/WooPaymentsApplePayDomainService.php
wcpay_apple_pay_domain_registration_failure	apple_pay_domain_registration_failure	domain,reason,mode	plugins/woocommerce/src/Internal/Payments/Providers/WooPayments/WooPaymentsApplePayDomainService.php
